,Codigo,lon,lat,Profundidad,Flujo_calor,Pesos,Flux_x_wts,geometry,Sed_thickness (m),Age (Ma)
208,KN15.14,-86.07055,0.6529166665,-2709.0,301.0,0.20919566720372668,62.96789582832172,POINT (-86.07055 0.6529166665),42.0,2.6
209,KN15.15,-86.06859999999998,0.651927778,-2711.0,364.0,0.20919566720372668,76.14722286215651,POINT (-86.06859999999998 0.651927778),42.0,2.6
210,KN15.16,-86.0676,0.650988889,-2730.0,293.0,0.20919566720372668,61.29433049069192,POINT (-86.0676 0.650988889),42.0,2.6
211,KN15.17,-86.06669999999998,0.65,-2734.0,255.0,0.20919566720372668,53.34489513695029,POINT (-86.06669999999998 0.65),62.0,2.6
212,KN15.18,-86.06669999999998,0.65,-2732.0,172.0,0.20919566720372668,35.981654759040985,POINT (-86.06669999999998 0.65),62.0,2.6
213,KN15.19,-86.06669999999998,0.6420666665,-2732.0,293.0,0.20919566720372668,61.29433049069192,POINT (-86.06669999999998 0.6420666665),62.0,2.6
214,KN15.2,-86.08329999999998,0.668611111,-2726.0,209.0,0.20919566720372668,43.72189444557888,POINT (-86.08329999999998 0.668611111),42.0,2.6
215,KN15.20,-86.06669999999998,0.6401388889999999,-2736.0,264.0,0.20919566720372668,55.22765614178385,POINT (-86.06669999999998 0.6401388889999999),62.0,2.6
216,KN15.21,-86.05775,0.638211111,-2730.0,661.0,0.20919566720372668,138.27833602166334,POINT (-86.05775 0.6382111110000001),62.0,2.6
217,KN15.22,-86.05584999999998,0.638211111,-2730.0,272.0,0.20919566720372668,56.90122147941365,POINT (-86.05584999999998 0.6382111110000001),62.0,2.6
218,KN15.23,-86.0539,0.637222222,-2726.0,486.0,0.20919566720372668,101.66909426101117,POINT (-86.0539 0.637222222),62.0,2.6
219,KN15.24,-86.05099999999999,0.63915,-2730.0,272.0,0.20919566720372668,56.90122147941365,POINT (-86.05099999999999 0.63915),62.0,2.6
220,KN15.3,-86.07544999999998,0.667622222,-2747.0,327.0,0.20919566720372668,68.40698317561862,POINT (-86.07544999999998 0.667622222),42.0,2.6
221,KN15.4,-86.07544999999998,0.6666833335,-2668.0,636.0,0.20919566720372668,133.04844434157016,POINT (-86.07544999999998 0.6666833335),42.0,2.6
222,KN15.5,-86.07544999999998,0.65875,-2664.0,490.0,0.20919566720372668,102.50587692982607,POINT (-86.07544999999998 0.6587499999999999),42.0,2.6
223,KN15.6,-86.07445,0.6568222220000001,-2663.0,850.0,0.20919566720372668,177.81631712316764,POINT (-86.07445 0.6568222220000001),42.0,2.6
224,KN15.7,-86.07345000000002,0.6568222220000001,-2668.0,477.0,0.20919566720372668,99.78633325617764,POINT (-86.07345000000002 0.6568222220000001),42.0,2.6
225,KN15.8,-86.07345000000002,0.6568222220000001,-2670.0,1000.0,0.20919566720372668,209.19566720372669,POINT (-86.07345000000002 0.6568222220000001),42.0,2.6
226,KN15.9,-86.07155,0.6568222220000001,-2666.0,787.0,0.20919566720372668,164.6369900893329,POINT (-86.07155 0.6568222220000001),42.0,2.6
227,KN16.1,-86.14014999999998,0.6166833335,-2698.0,293.0,0.20919566720372668,61.29433049069192,POINT (-86.14014999999998 0.6166833335),74.0,3.0
228,KN16.10,-86.1333,0.63915,-2719.0,80.0,0.20919566720372668,16.735653376298135,POINT (-86.13330000000001 0.63915),74.0,2.6
229,KN16.11,-86.1333,0.637222222,-2726.0,71.0,0.20919566720372668,14.852892371464597,POINT (-86.13330000000001 0.637222222),74.0,2.6
230,KN16.12,-86.12545,0.6352944444999999,-2751.0,105.0,0.20919566720372668,21.965545056391303,POINT (-86.12545 0.6352944444999999),62.0,2.6
231,KN16.15,-86.1333,0.6352944444999999,-2743.0,71.0,0.20919566720372668,14.852892371464597,POINT (-86.13330000000001 0.6352944444999999),74.0,2.6
232,KN16.2,-86.14014999999998,0.617622222,-2679.0,381.0,0.20919566720372668,79.70354920461986,POINT (-86.14014999999998 0.6176222220000001),74.0,3.0
233,KN16.3,-86.14014999999998,0.618611111,-2663.0,356.0,0.20919566720372668,74.4736575245267,POINT (-86.14014999999998 0.618611111),74.0,3.0
234,KN16.4,-86.14114999999998,0.620538889,-2663.0,473.0,0.20919566720372668,98.94955058736272,POINT (-86.14114999999998 0.620538889),74.0,3.0
235,KN16.5,-86.14114999999998,0.6215277779999999,-2651.0,410.0,0.20919566720372668,85.77022355352794,POINT (-86.14114999999998 0.6215277779999999),74.0,3.0
236,KN16.6,-86.14014999999998,0.6225166664999999,-2646.0,327.0,0.20919566720372668,68.40698317561862,POINT (-86.14014999999998 0.6225166664999999),74.0,3.0
237,KN16.7,-86.14014999999998,0.6244444444999999,-2640.0,381.0,0.20919566720372668,79.70354920461986,POINT (-86.14014999999998 0.6244444444999999),74.0,3.0
238,KN16.8,-86.13915,0.6333166665,-2631.0,234.0,0.20919566720372668,48.951786125672044,POINT (-86.13915 0.6333166665),74.0,3.0
239,KN16.9,-86.1343,0.63915,-2723.0,67.0,0.20919566720372668,14.016109702649686,POINT (-86.1343 0.63915),74.0,2.6
240,KN17.1,-86.08329999999998,0.6696,-2694.0,209.0,0.20919566720372668,43.72189444557888,POINT (-86.08329999999998 0.6696),42.0,2.6
241,KN17.2,-86.08329999999998,0.671527778,-2670.0,243.0,0.20919566720372668,50.834547130505584,POINT (-86.08329999999998 0.671527778),42.0,2.6
242,KN17.3,-86.08329999999998,0.6734555555,-2693.0,180.0,0.20919566720372668,37.655220096670796,POINT (-86.08329999999998 0.6734555555),42.0,2.6
243,KN17.6,-86.07155,0.7,-2698.0,100.0,0.20919566720372668,20.919566720372668,POINT (-86.07155 0.7),42.0,2.6
244,KN17.7,-86.0696,0.7029166665000001,-2631.0,80.0,0.20919566720372668,16.735653376298135,POINT (-86.06959999999999 0.7029166665000001),42.0,2.6
245,KN17.8,-86.0696,0.7058333335,-2601.0,209.0,0.20919566720372668,43.72189444557888,POINT (-86.06959999999999 0.7058333335),42.0,2.6
246,KN18.1,-86.0676,0.7058333335,-2616.0,155.0,0.20919566720372668,32.425328416577635,POINT (-86.0676 0.7058333335),42.0,2.6
247,KN18.2,-86.0676,0.706822222,-2616.0,163.0,0.20919566720372668,34.098893754207445,POINT (-86.0676 0.706822222),42.0,2.6
248,KN18.3,-86.05775,0.70875,-2672.0,84.0,0.20919566720372668,17.57243604511304,POINT (-86.05775 0.70875),42.0,2.6
249,KN18.4,-86.05584999999998,0.717622222,-2678.0,335.0,0.20919566720372668,70.08054851324843,POINT (-86.05584999999998 0.717622222),42.0,2.6
250,KN18.5,-86.05584999999998,0.717622222,-2678.0,280.0,0.20919566720372668,58.57478681704347,POINT (-86.05584999999998 0.717622222),42.0,2.6
251,KN18.6,-86.05584999999998,0.717622222,-2678.0,197.0,0.20919566720372668,41.211546439134146,POINT (-86.05584999999998 0.717622222),42.0,2.6
252,KN19.1,-86.08914999999998,0.5901388889999999,-2736.0,301.0,0.20919566720372668,62.96789582832172,POINT (-86.08914999999998 0.5901388889999999),62.0,3.0
253,KN2.1,-86.08914999999998,0.637222222,-2768.0,163.0,0.20919566720372668,34.098893754207445,POINT (-86.08914999999998 0.637222222),62.0,2.6
254,KN2.2,-86.0872,0.6362333335,-2745.0,209.0,0.20919566720372668,43.72189444557888,POINT (-86.0872 0.6362333335),62.0,2.6
255,KN2.3,-86.08429999999998,0.6352944444999999,-2741.0,268.0,0.20919566720372668,56.064438810598745,POINT (-86.08429999999998 0.6352944444999999),62.0,2.6
256,KN20.1,-86.13625,0.5891500000000001,-2698.0,607.0,0.20919566720372668,126.98176999266208,POINT (-86.13625 0.5891500000000001),74.0,3.0
257,KN21.1,-86.13625,0.6009888889999999,-2719.0,339.0,0.20919566720372668,70.91733118206334,POINT (-86.13625 0.6009888889999999),74.0,3.0
258,KN21.2,-86.1353,0.6029166665,-2739.0,352.0,0.20919566720372668,73.6368748557118,POINT (-86.1353 0.6029166665),74.0,3.0
259,KN21.3,-86.1353,0.6048444445000001,-2753.0,360.0,0.20919566720372668,75.31044019334159,POINT (-86.1353 0.6048444445000001),74.0,3.0
260,KN21.5,-86.1343,0.6166833335,-2751.0,218.0,0.20919566720372668,45.60465545041242,POINT (-86.1343 0.6166833335),74.0,3.0
261,KN21.6,-86.1333,0.6196,-2689.0,218.0,0.20919566720372668,45.60465545041242,POINT (-86.13330000000001 0.6196),74.0,3.0
262,KN21.7,-86.1333,0.6196,-2685.0,96.0,0.20919566720372668,20.082784051557763,POINT (-86.13330000000001 0.6196),74.0,3.0
263,KN21.8,-86.12444999999998,0.6225166664999999,-2700.0,126.0,0.20919566720372668,26.35865406766956,POINT (-86.12444999999998 0.6225166664999999),62.0,3.0
264,KN22.1,-86.1539,0.5519277779999999,-2784.0,222.0,0.20919566720372668,46.44143811922732,POINT (-86.15389999999999 0.5519277779999999),98.0,3.0
265,KN23.1,-86.1667,0.5558333335000001,-2715.0,239.0,0.20919566720372668,49.997764461690686,POINT (-86.16670000000001 0.5558333335000001),98.0,3.0
266,KN23.2,-86.15100000000002,0.5539055555,-2762.0,222.0,0.20919566720372668,46.44143811922732,POINT (-86.15100000000002 0.5539055555),98.0,3.0
267,KN23.3,-86.13915,0.5529166664999999,-2788.0,318.0,0.20919566720372668,66.52422217078508,POINT (-86.13915 0.5529166664999999),98.0,3.0
