,Codigo,lon,lat,Profundidad,Flujo_calor,Pesos,Flux_x_wts
225,KN15.8,-86.07345000000001,0.656822222,-2670.0,1000.0,0.20919566720372668,209.19566720372669
226,KN15.9,-86.07155,0.656822222,-2666.0,787.0,0.20919566720372668,164.6369900893329
227,KN16.1,-86.14014999999999,0.6166833335,-2698.0,293.0,0.20919566720372668,61.29433049069192
228,KN16.10,-86.1333,0.63915,-2719.0,80.0,0.20919566720372668,16.735653376298135
229,KN16.11,-86.1333,0.637222222,-2726.0,71.0,0.20919566720372668,14.852892371464595
230,KN16.12,-86.12545,0.6352944444999999,-2751.0,105.0,0.20919566720372668,21.9655450563913
231,KN16.15,-86.1333,0.6352944444999999,-2743.0,71.0,0.20919566720372668,14.852892371464595
232,KN16.2,-86.14014999999999,0.617622222,-2679.0,381.0,0.20919566720372668,79.70354920461986
233,KN16.3,-86.14014999999999,0.618611111,-2663.0,356.0,0.20919566720372668,74.4736575245267
234,KN16.4,-86.14114999999998,0.620538889,-2663.0,473.0,0.20919566720372668,98.94955058736272
235,KN16.5,-86.14114999999998,0.621527778,-2651.0,410.0,0.20919566720372668,85.77022355352794
236,KN16.6,-86.14014999999999,0.6225166664999999,-2646.0,327.0,0.20919566720372668,68.40698317561862
237,KN16.7,-86.14014999999999,0.6244444444999999,-2640.0,381.0,0.20919566720372668,79.70354920461986
238,KN16.8,-86.13915,0.6333166665,-2631.0,234.0,0.20919566720372668,48.951786125672044
239,KN16.9,-86.1343,0.63915,-2723.0,67.0,0.20919566720372668,14.016109702649688
240,KN17.1,-86.08329999999998,0.6696,-2694.0,209.0,0.20919566720372668,43.721894445578876
241,KN17.2,-86.08329999999998,0.671527778,-2670.0,243.0,0.20919566720372668,50.834547130505584
242,KN17.3,-86.08329999999998,0.6734555555,-2693.0,180.0,0.20919566720372668,37.6552200966708
243,KN17.6,-86.07155,0.7,-2698.0,100.0,0.20919566720372668,20.919566720372668
244,KN17.7,-86.0696,0.7029166665,-2631.0,80.0,0.20919566720372668,16.735653376298135
245,KN17.8,-86.0696,0.7058333335,-2601.0,209.0,0.20919566720372668,43.721894445578876
246,KN18.1,-86.0676,0.7058333335,-2616.0,155.0,0.20919566720372668,32.425328416577635
247,KN18.2,-86.0676,0.706822222,-2616.0,163.0,0.20919566720372668,34.098893754207445
248,KN18.3,-86.05775,0.70875,-2672.0,84.0,0.20919566720372668,17.57243604511304
249,KN18.4,-86.05584999999999,0.717622222,-2678.0,335.0,0.20919566720372668,70.08054851324843
250,KN18.5,-86.05584999999999,0.717622222,-2678.0,280.0,0.20919566720372668,58.57478681704347
251,KN18.6,-86.05584999999999,0.717622222,-2678.0,197.0,0.20919566720372668,41.21154643913415
252,KN19.1,-86.08914999999999,0.5901388889999999,-2736.0,301.0,0.20919566720372668,62.96789582832173
253,KN2.1,-86.08914999999999,0.637222222,-2768.0,163.0,0.20919566720372668,34.098893754207445
254,KN2.2,-86.0872,0.6362333335,-2745.0,209.0,0.20919566720372668,43.721894445578876
255,KN2.3,-86.08429999999998,0.6352944444999999,-2741.0,268.0,0.20919566720372668,56.06443881059875
256,KN20.1,-86.13625,0.5891500000000001,-2698.0,607.0,0.20919566720372668,126.9817699926621
257,KN21.1,-86.13625,0.6009888889999999,-2719.0,339.0,0.20919566720372668,70.91733118206335
258,KN21.2,-86.1353,0.6029166665,-2739.0,352.0,0.20919566720372668,73.6368748557118
259,KN21.3,-86.1353,0.6048444445,-2753.0,360.0,0.20919566720372668,75.3104401933416
260,KN21.5,-86.1343,0.6166833335,-2751.0,218.0,0.20919566720372668,45.604655450412416
261,KN21.6,-86.1333,0.6196,-2689.0,218.0,0.20919566720372668,45.604655450412416
262,KN21.7,-86.1333,0.6196,-2685.0,96.0,0.20919566720372668,20.08278405155776
263,KN21.8,-86.12444999999998,0.6225166664999999,-2700.0,126.0,0.20919566720372668,26.358654067669562
